Baxazole-D    (Baxter )
Tansaar    (Tread)
Tansidin    (Tansy)
Tansin    (Pharmevo)
Tansin Ds    (Pharmevo)
Tantum    (Obs)
Tanzic      (Everest)
Tanzo    (Bosch)
Tapex    (Univet)
Tapocin    (Hoffman)
Taprofen    (Jawa)
Taramol    (Trison)
Tarceva    (Roche)
Tarcit    (Searle)
Tardyferon-F    (Agp)
Targocid    (Aventis)
Taricin    (Hansel)
Taridix    (Neo)
Tariflox    (Bosch)
Tariflox Forte    (Bosch)
Taripharm    (E Pharm)
Tarisin    (Sante)
Tarithrocid    (Alkemy)
Tarivid    (Aventis)
Tarka    (Abbott)
Tarobax    (Cirin)
Tarovasc    (Everest)
Tasartan    (Stern)
Tasigna    (Novartis)
Tasmi    (Getz)
Tasocal    (Tas)
Tasocam    (F.M)
Tasocam-B    (Tas)
Tasofam    (F.M)
Tasoflox    (F.M)
Tasomycin    (Tas)
Tatidine    (Dosaco)
Taufel    (Lexicon)
Tavalose    (High-Q)
Tavam    (Zanctok)
Tavanic    (Aventis)
Tavas    (Shaheen)
Tavelor    (Helix)
Tavicef    (Delta)
Tavil    (Everest)
Tavist    (Macter)
Tavist Plus    (Macter)
Tavit    (Everest)
Taxedac    (Unipharma)
Taxfo    (Goodman)
Taxfro    (Ferroza)
Taxiben    (Benson)
Taxime    (Akhai)
Taxiron    (Pharmedic)
Taxocyn    (Synchro)
Taxol    (Gsk)
Taxomic    (Linz)
Taxopar    (Mass)
Taxotere    (Aventis)
Taxotere Concentrate    (Aventis)
Tazadin       (Shawan)
Tazalex       (Wise)
Tazecef    (Lowitt)
Tazidime    (Akhai)
Tazin    (Bio Pharma)
Tazobact    (Jinnah)
Tazobid    (Makson)
Tazocin    (Pfizer)
Tazoger-G    (Bryon)
Tazomax    (Shaf)
Tazop     (Global)
Tazopip    (Scitech)
Tbrid    (Medicraft)
Tcd-1000    (Maq)
Te Anatoxal Berna    (Hakimsons)
Tears Forte    (Sante)
Tears Gel    (Vega)
Tears Natural Ii    (Novartis)
Tears Plus    (Barrett)
Tebokan Forte    (Agp)
Tecarall    (Nimrall)
Technobet    (Derma Tech)
Technobet G    (Derma Tech)
Technobet-S    (Derma Tech)
Technofer    (Hygeia)
Technofer-F    (Hygeia)
Technoflox    (Hygeia)
Technozole    (Derma Tech)
Tecifin    (Al-Habib)
Tecklex    (Amarant)
Tector    (Macter)
Tector Plus    (Macter)
Tee-Dim    (Derma Tech)
Teebazid    (Kpl)
Teen       (Rogen)
Teething Drops    (Woodward)
Tefend    (Glitz)
Tefnel    (Medicaids)
Tefno    (Searle)
Tefra    (Neutro)
Teganorm    (Pharmevo)
Tegmac    (Schazoo)
Tegral    (Novartis)
Tegram    (Mediate)
Teicon    (A.J.Mirza)
Teicox    (Rotex)
Teknofenac    (Hygeia)
Teknoflox    (Hygeia)
Teknopram    (Hygeia)
Teknosol    (Hygeia)
Teknoxil    (Hygeia)
Tekopin    (Bayer)
Tekostine    (Gray'S)
Tekwin    (Hansel)
Tel-Mycin    (Winilton)
Telbit    (Hamaz)
Telbivudine    (Cirin)
Teldrin    (Orta)
Telepine    (Wilsons)
Telfast    (Aventis)
Telfast-D    (Aventis)
Telfex    (Polyfine)
Telfex-D    (Polyfine)
Teli    (Wilsons)
Telithro    (Helix)
Telithro    (Ferroza)
Telkair    (Kinsa)
Telkot    (S.J.& G)
Telmark    (Unimark)
Telmintic    (Hamaz)
Telmis-A    (Genix)
Telmis-H    (Genix)
Telopram    (Schazoo)
Telox    (Platinum)
Telrom    (Genome)
Telrom    (Genix)
Telsan    (Hilton)
Telsarta    (Pharmevo)
Telsarta-D    (Pharmevo)
Telsitan    (Macter)
Telsitan-H    (Macter)
Telukast    (Friends)
Telwin    (Wnsfeild)
Temel    (Aries)
Temerol    (Leads)
Temfin    (Ceicil)
Temgesic    (Reckitt)
Temgesic Sublingual    (Reckitt)
Temgo    (Aries)
Temocab    (Standpharm)
Temoside    (A.J.Mirza)
Tempnil    (Neo)
Tempol 6+    (Woodward)
Tempol Peach    (Woodward)
Tempol Pineapple    (Woodward)
Tempol-C    (Woodward)
Tempramine    (Woodward)
Tenacid    (Akhai)
Tencid    (Regent)
Tenif    (Gray'S)
Tenofo-B    (Getz)
Tenofovir    (Cirin)
Tenoret-50    (Ici)
Tenormin    (Ici)
Tenorox    (Hygeia)
Tenova    (Pharmevo)
Tenovir    (Pharmix)
Tenovir    (Maple)
Tenovir    (Navegal)
Tenowin    (Winilton)
Tenoxam    (Pearl)
Tenoxim    (Bloom)
Tenoxitil    (Fynk)
Tenozide    (Pharmatec)
Tensiomin    (Medimpex)
Tensium    (Werrick)
Tensol    (Navegal)
Tensonil    (Rakaposhi)
Tenvir    (A.J.Mirza)
Tenzex    (Welmed)
Tenzil    (Atco)
Teolid    (Highnoon)
Teozin    (Pulse)
Teph    (Sami)
Teph Insta    (Sami)
Tepride    (Shaigan)
Tera-One    (Cirin)
Terabin    (Mass)
Teraxone    (Hamaz)
Terb-C    (Wisdom)
Terbi    (Nexpharm)
Terbi-Sil    (Silver)
Terbiaim    (Aims)
Terbiderm    (Atco)
Terbiderm Forte    (Atco)
Terbifas    (Fassgen)
Terbifen    (Remedy)
Terbin    (Martin)
Terbino    (Ferroza)
Terbisan    (Sante)
Terbiser    (Panacea)
Terbisil    (Saffron)
Terbiwan    (Swan)
Terbiwood    (Woodward)
Terbix    (Z-Jans)
Terbiz    (Genome)
Terbizam    (Biogen)
Terbizine    (Candid)
Terbizor    (Bryon)
Terbulin    (Bryon)
Terbutascot    (Scotmann)
Terbutil    (Pakheim)
Tercica    (Sami)
Tergynan    (Highnoon)
Teriget    (Akson)
Teril    (Merck)
Terinol    (Unipharma)
Terix    (Wnsfeild)
Terladin    (Sapient)
Terlax    (Barrett)
Terlip    (Getz)
Terlox    (Fynk)
Termibex    (Highnoon)
Termibex Bd    (Highnoon)
Ternelin    (Novartis)
Terodine    (Noa Hemis)
Terol    (Genome)
Terox    (Shawan)
Terramycin    (Pfizer)
Tersil    (Sami)
Tesco      (Nimrall)
Tesmic    (Zafa)
Tespral    (Martin)
Tespral Od    (Martin)
Testofort    (Pliva)
Testogin-L    (Tread)
Testogin-T    (Tread)
Testonon    (Zafa)
Testosterone    (Haji)
Testosterone    (Geofman)
Testosterone    (Orient)
Testoviran Depot    (Bayer)
Testoviron    (Bayer)
Tetagam P    (Ibl)
Tetanea    (Aventis)
Tetanus Antitoxin    (Pliva)
Tetanus Toxoid Vaccine    (Hss)
Tetatox    (Hakimsons)
Tetavax    (Aventis)
Tethrocin    (Tabros)
Tetra-Derm      (Valor)
Tetracin    (Sharex)
Tetracoq    (Sms)
Tetract-Hib    (Aventis)
Tetracycline    (Wilsons)
Tetracycline    (Wilshire)
Tetracycline    (Unexo)
Tetracycline    (Lisko)
Tetracycline Hcl    (Siza)
Tetralin    (Jaens)
Tetramaz    (Hamaz)
Tetrawil    (Wilshire)
Tetrin-10%    (Univet)
Tetuman    (Hakimsons)
Teveten    (Abbott)
Tevoflox    (Pearl)
Texamic     (Nimrall)
Texcol Allergy    (Raazee)
Texcol Bronco    (Raazee)
Texcol Ex    (Raazee)
Texcol Plus    (Raazee)
Texcol Sinus    (Raazee)
Texcol-Dm    (Raazee)
Texcol-Dmd    (Raazee)
Texcol-E    (Raazee)
Texodine    (Wnsfeild)
Texot    (Atco)
Textrin    (Tagma)
Tezam    (Drug)
Tezda    (Albro)
Tezim    (Genome)
Tezole    (Brookes)
Tezox    (Bosch)
Thalac    (Pulse)
Thalido    (Atco)
Thazi    (Neutro)
Thelevo    (Caraway)
Thelmox    (Polyfine)
Theo-Dur    (Pacific)
Theograd Gradumet    (Abbott)
Theophyl    (Lcpw)
Theophylline    (Hizat)
Theophylline    (Mian)
Theophylline    (Reckitt)
Theophylline    (Lisko)
Theoplus    (Agp)
Theoron    (Ppp)
Theozam    (Cirin)
Ther    (Linear)
Theracid    (Rasco)
Theracombex    (Pfizer)
Theragran Stress    (Gsk)
Theragran Ultra    (Gsk)
Theragran-H    (Gsk)
Theragran-M    (Gsk)
Theragran-Nv    (Gsk)
Theraplex    (Lcpw)
Therasept    (Pharmedic)
Therasept B.D.    (Pharmedic)
Therin Vit    (Martindale)
Therin-M Super    (Martindale)
Theron-F    (Bloom)
Thiabion    (Sharex)
Thiacetazone I.N.H    (Geofman)
Thiamine Hydrochloride    (Shifa)
Thiavit    (Mendoza)
Thiazine    (Davis)
Thicar Sr    (Lexicon)
Thiocid       (Rogen)
Thiocol    (Ray)
Thioguanine    (Al-Habib)
Thiolax    (S.J.& G)
Thionol    (Global)
Thiopen    (Akhai)
Thiopental    (Vision 2000)
Thiopentone    (Haji)
Thioptone    (Ocean)
Thonium    (Epoch)
Threesil    (Venus)
Throat Paint    (Kci)
Throb    (Biolabs)
Throcin    (Trison)
Throgin    (Jinnah)
Throlid    (Rex)
Thrombonil    (Standpharm)
Thrombonil Plus    (Standpharm)
Thromboreductin    (Atco)
Thromik    (Standard)
Thromycin    (Semos)
Thron    (Linear)
Throvex    (Cirin)
Thyco    (Jaens)
Thymin    (Aptcure)
Thymogam    (Hakimsons)
Thymoglobulin ®    (Scitech)
Thymoglobuline    (Sms)
Thymopen    (Graton)
Thyorin    (Pharmedic)
Thyraxinil    (Munawar)
Thyrazol    (Bryon)
Thyril    (Danas)
Thyro    (Platinum)
Thyrotex    (Syntex)
Thyrox    (Pharmedic)
Thyroxine    (Gsk)
Thyroxine Sodium    (Global)
Thyroxine Sodium    (Dosaco)
Tiapin    (Adamjee)
Tiazem    (Hilton)
Tibex    (Helix)
Tibex-P    (Helix)
Tibopause    (Zafa)
Tica    (Neutro)
Ticavir    (Shaigan)
Ticknil    (Silver)
Ticlid    (Searle)
Ticlopoli    (Scharper)
Ticlor    (Everest)
Ticobal    (Everest)
Ticon    (Amarant)
Ticovate    (Saffron)
Tics    (Genix)
Ticzine    (Lowitt)
Tidin    (Miracle)
Tienam    (Obs)
Tifam    (Drug Pharma)
Tifcin    (Valor)
Tifen    (Alina)
Tifin Xr    (Aptcure)
Tifowan    (Swan)
Tifox    (Shrooq)
Tigasor    (Shrooq)
Tigesic    (Healthtek)
Tilast    (Vega)
Tilaxin    (Harrison)
Tilcotil    (Roche)
Tilomide    (Shaigan)
Tiloptic    (Mascon)
Tiloryth    (Glitz)
Timentin    (Gsk)
Timentin Drops    (Atco)
Timequin    (Sami)
Timezol    (Rotex)
Timit    (Alliance)
Timo Stulln Ud    (Haroon)
Timodine    (Hygeia)
Timol    (Panacea)
Timoprost    (Vega)
Timoptic    (Helix)
Timoptol    (Obs)
Timorex    (Vega)
Timorex D    (Vega)
Timosol    (Schazoo)
Timotek    (Innvotek)
Timotek-D    (Innvotek)
Timozol    (Valor)
Tims    (Wise)
Tinabin    (Derma Tech)
Tinademe    (Zinta)
Tinadine    (Hyan)
Tinamous    (Zephyr)
Tinch Iodine    (Alkemy)
Tinchu Vit    (Martindale)
Tinct Benzoin    (Progressive Lab)
Tinct Benzoin    (Kci)
Tinct Iodine Weak    (Progressive Lab)
Tincture    (Euro)
Tincture Benzoin    (Kpl)
Tincture Benzoin    (Festel)
Tincture Benzoin Co    (Alkemy)
Tincture Benzoin Co    (Prime)
Tincture Benzoin Co    (Mian)
Tincture Benzoin Co    (Pharmawise)
Tincture Iodine    (Ferozson)
Tincture Iodine    (Kci)
Tincture Iodine    (Kpl)
Tincture Iodine    (Pharmawise)
Tincture Iodine    (Alkemy)
Tincture Iodine    (Festel)
Tincture Iodine    (Prime)
Tineacort    (Sulk)
Tinearin    (Sulk)
Tinic    (Shazal)
Tinidazole    (Siza)
Tinidil    (Pliva)
Tinize Capsule    (Genome)
Tinize Tablet    (Akson)
Tinkle    (Wilshire)
Tinocard-100    (Caylex)
Tinocard-50    (Caylex)
Tinocef    (Paramount)
Tinopep    (Remington)
Tinza    (Saydon)
Tio-Veez    (Macter)
Tiobine    (Gray'S)
Tiovair    (Highnoon)
Tiovair F    (Highnoon)
Tiracef    (Mass)
Tiram    (Panacea)
Tirazine    (Usawa)
Tirix    (Alliance)
Tirlor    (Novartis)
Tissot    (Macquins)
Titan    (Macter)
Tivs    (Shrooq)
Tixicold    (Zain)
Tixim    (Kci)
Tixylix    (Aventis)
Tizadin    (Shazal)
Tizan    (Neutro)
Tizanaflex    (Webrose)
Tizaniadvan      (Advanced)
Tizapine    (Amarant)
Tized    (Polyfine)
Tizenax    (Caraway)
Tizenedal    (Alson)
Tizid    (Standpharm)
Tizidan    (Danas)
Tizigood    (Goodman L)
Tizilex    (Tabros)
Tizmed    (Medicraft)
Tizmin    (Everest)
Tizocef    (Kci)
Tizocin    (Akson)
Tizodine    (Batala)
Tizom    (Caraway)
Tizorel    (Merck)
Tizpa    (S.J.& G)
Tlemol    (Fassgen)
Tml    (Atco)
Tnsles    (Panacea)
Tobcin    (Reko)
Tobcy    (Valor)
Tobcydex    (Valor)
Tobitil    (Wilshire)
Tobol    (Nimrall)
Tobra    (Schazoo)
Tobra-D    (Schazoo)
Tobracin    (Helix)
Tobracin Inj    (Swiss Pharma)
Tobracin-D    (Helix)
Tobradex    (Novartis)
Tobradon    (Saydon)
Tobramet    (Polyfine)
Tobrasone    (Himont Pharma)
Tobraxia    (Medipak)
Tobrex    (Novartis)
Tobrin    (Drugs)
Tocin    (Amros)
Tocinox    (Geofman)
Tocor Forte    (Raazee)
Tocozole    (F.M)
Todex    (Mascon)
Toffcin    (Alkemy)
Tofranil    (Indus)
Togal    (Akhai)
Tojina    (Agp)
Tokom    (Neutro)
Tokosvit    (Rite)
Tolax    (Genome)
Tolbutal    (Standard)
Toldex    (Ambrosia)
Toldin    (Sante)
Tolin    (Farmaceutics)
Tolodin       (Valor)
Toltem    (Rotex)
Tolter    (Caraway)
Tolu    (Jawa)
Tolvon    (Obs)
Tolymax    (Medisure)
Toma    (Tfc Pharma)
Tomate    (Polyfine)
Tomax    (Zaka)
Tomigraine    (Obs)
Tomirex    (Rex)
Tonavir      (Rotex)
Tone-Up    (Novamed)
Tonek 75    (Polyfine)
Toni-5    (Agp)
Tonicalcium    (Ellahi)
Tonicard    (Tabros)
Tonoflex    (Sami)
Tonoflex-P    (Sami)
Tonsic    (Raazee)
Tonum    (Pliva)
Top Gel Liberty    (Gsk)
Top-Gel Mca    (Gsk)
Top-Gel Plus    (Gsk)
Topadix       (Neo)
Topagen    (Reko)
Topagen    (Genetics)
Topamax    (Janssen-Cilag)
Topamid    (Avital Pharma)
Topawan    (Swan)
Topaz    (Gene-Tech Labs)
Topcal    (Caraway)
Topcef    (Elko)
Topcip    (Avital Pharma)
Topclor    (Rasco)
Toperatec 3H    (Hamaz)
Topestin    (Caraway)
Topilep    (Cellgene)
Topirama    (Platinum)
Topirat    (Gray'S)
Topirax    (Ferroza)
Topiro    (Adamjee)
Topmate    (Efroze)
Topneuter    (Biotechna)
Topocid    (Cirin)
Topokebir    (Oncogene )
Toposide    (Pharmedic)
Topotel    (Atco)
Toprazole    (Dyson R L)
Toprex    (Hansel)
Topride    (Everest)
Toprol    (Raazee)
Topte    (S.J.& G)
Topzin    (Shrooq)
Toradol    (Roche)
Toralac    (Global)
Torant    (Albro)
Torapan    (Gsk)
Torapan    (Caraway)
Torate    (Ccl)
Torax-Bronco    (Siza)
Torax-Dm    (Siza)
Torax-Ex    (Siza)
Torax-G    (Siza)
Torecan    (Novartis)
Torex Ir    (Platinum)
Toride    (Ccl)
Torlip 3H    (Hamaz)
Tormax    (Platinum)
Tornil    (Serene)
Torolac    (Zaka)
Torstan    (Kci)
Total    (Wise)
Totamol    (Bio Pharma)
Totifen    (Lcpw)
Toxinil    (Wilsons)
Toxiplatin    (Ccl)
Toxirid    (Global)
Tpram    (Tagma)
Tr. Iodine Mitis    (Mian)
Tr.Benzoin Co    (Ferozson)
Tr.Benzonic Co    (Jawa)
Trac    (Fozan)
Tracnesan    (Sante)
Tracodil    (Sharex)
Tracodil Dm    (Sharex)
Traconol    (Fozan)
Tracrium    (Gsk)
Tracur    (Akhai)
Tradol    (Pharmedic)
Tradolint    (Meezab Int.)
Trai    (Genix)
Trajin    (Pharmedic)
Tramacin    (Swiss Pharma)
Tramacort    (Trigon)
Tramacure    (Global)
Tramacute    (Trigon)
Tramagesic    (Popular)
Tramal    (Searle)
Tramal Plus    (Searle)
Tramalex    (Axis)
Tramapar    (Efroze)
Tramed    (Aries)
Tramitt    (Lowitt)
Tramowan    (Swan)
Tranamic    (Panacea)
Tranamin    (Akson)
Tranazol    (Rakaposhi)
Tranazol D.S    (Rakaposhi)
Trance    (Innvotek)
Trancodan      (Danas)
Tranconil    (Geofman)
Trand-V Er    (Genix)
Tranol    (Bloom)
Tranquil    (Pharmedic)
Tranquit    (Paramount)
Transaf    (Saaaf)
Transamin    (Hilton)
Transcam    (Mendoza)
Transdin    (Unison)
Transmac    (Mcolson)
Transmed    (Medley)
Transolide    (Global)
Tranxcin    ()
Tranxene    (Searle)
Tranxic    (Lisko)
Tranxit    (Genome)
Trarium    (Hoffman)
Traser 3H    (Hamaz)
Traslo    (S.Ejazuddin)
Traspas    (Z-Jans)
Trasylol    (Bayer)
Traumalax    (Nenza)
Traumanil    (Lcpw)
Traumax    (Siza)
Travatan    (Novartis)
Travilan    (A.J)
Travocort    (Bayer)
Travogen    (Bayer)
Traxacid    (Asian)
Traxic    (Fassgen)
Traxim    (Biolabs)
Traxon    (Akhai)
Traxyl    (Obs)
Trazene    (Pharmevo)
Trazolam    (Organic)
Treafen    ()
Treat    (Vision)
Treatan    (Pharmevo)
Treatan D    (Pharmevo)
Treatofer    ()
Trebac    (Aptcure)
Tremic    (Fynk)
Tremomed    (Medicraft)
Trench    (Hansel)
Treno    (Tabros)
Treobion    (Venus)
Tres-Orix Forte    (Highnoon)
Treston    (Axis)
Tretiderm    (Derma Tech)
Tretigen    (Nephar)
Tretinex    (Dermagen)
Tretocin    (Derma Tech)
Tretol    (Friends)
Trevia    (Getz)
Treviamet    (Getz)
Trexam    (Haji)
Trexan    (Abbott)
Trexol    (Helix)
Trezo    (Genera)
Tri-Domec Paste    (Platinum)
Tri-Gmb    (Biogen)
Tri-Hemic 600    (Pfizer)
Tri-Valsan    (Hilton)
Triad Cold    (Helicon)
Triad Plus    (Helicon)
Triam    (Z-Jans)
Triaminic    (Novartis)
Triaminic Chest    (Novartis)
Triaminic Cold & Allergy    (Novartis)
Triaminic Cough     (Child)    (Novartis)
Triaminic Flue
Triaminic-Dm    (Novartis)
Triaminic-E    (Novartis)
Triarains    (Mac & Rans)
Triatec Hct    (Aventis)
Triax    (Wilshire)
Triazolin    (Pharma Health)
Triban    (Csh)
Triben    (Benson)
Tribute    (Trigon)
Tributine    (Raazee)
Trican    (Aries)
Tricare    (Care)
Trice    (Jayson)
Tricefin    (Medimark)
Tricetam    (Mediate)
Trichogin    (Chiesi)
Trichozole    (Spencer)
Tricin    (Macter)
Tricip    ()
Triclo    (Trison)
Triclo-K    (Trison)
Triclod    (Davis)
Tricobal    (Trison)
Tricort    (Akhai)
Tricos    (Paramount)
Tricosten    (Polyfine)
Tricride    (Neo Nexus)
Tridol    (Mediate)
Trifer    (Trison)
Trifibe    (Pulse)
Trifocin     (Trison)
Trifuron    (Hassan)
Trifuron-M    (Hassan)
Trig    (Gaba)
Trigesic    (Wilshire)
Trigin    (Umersons)
Trigoren    (Trigon)
Trigyel    ()
Trihycolon    (Rogen)
Triject    (Nabiqasim)
Trim Fast    (Zaka)
Trimag    (Eros)
Trimagna    (Semos)
Trimaltose    (Trigon)
Trimark    (Welmark)
Trimax    (Gaba)
Trimazole    (Trison)
Trimelasin    (Valor)
Trimetabol    (Sami)
Trimetasone    (Geofman)
Trimether       (Trison)
Trimether Injection    ()
Trimex    (Medicaids)
Trimex  P    (Medicaids)
Trimex Forte    (Medicaids)
Trimez    (Atco)
Trimin    (Remington)
Trimotol    (Pulse)
Trimovax    (Aventis)
Trimoxin    (Helix)
Trimoxin-Ds    (Helix)
Trimzak    (Zaka)
Trine    (Shaheen)
Trinkle    (Wilshire)
Triocof    (Wilsons)
Triocof-Sf    (Wilsons)
Triomune    (A.J.Mirza)
Trioptal    (Novartis)
Triovit    (Harmann)
Triperazine    (Krka-Pak)
Tripim    (Wise)
Tripizine    (Trigon)
Triplon-N    (Shifa)
Triplon-P    (Shifa)
Tripofed    (Lcpw)
Tripol    (Davis)
Triprolidine    (Unexo)
Triptan    (Valor)
Triptor    (Ccl)
Triptylin      (Caraway)
Trisave    (Medisave)
Trisep    (Munawar)
Trisequens    (Novo)
Trisil    (Efroze)
Trisil Plus    (Efroze)
Trisone    (Pearl)
Triste    (Ambrosia)
Trisulfa    (Hizat)
Tritace    (Aventis)
Tritanrix-Hb    (Gsk)
Triton    (Valor)
Triton Inj    (Mass)
Tritop    (Semos)
Trivac Hb    (Macter)
Trivac Vaccine    (Hi-Warble)
Trivastal    (Servier)
Trividox    (Abbott)
Trivinate    ()
Triviraten    (Hakimsons)
Trivizol    (Pfizer)
Trivolive    (Olive Labs)
Triway    (Caraway)
Trix    (Trison)
Trixin       (Trison)
Trizadine    (Fassgen)
Trize    (Lawari)
Trizel    (Cherwel)
Trizim    (Rex)
Trizol    (Dr.Raza)
Trizolin    (Medisure)
Trizon    (Century)
Trizymal    (Efroze)
Trobel    (Zinta)
Trobicin    (Pfizer)
Trocin    (Kpl)
Trodine    (Amarant)
Troloc    (Flow)
Tromate    (Kpl)
Trometh    (Nexus)
Tromit    (Standpharm)
Tromser      (Panacea)
Tromser    Sr    (Panacea)
Tronid      (Ambrosia)
Tronid F    (Fynk)
Tronizol    (Akson)
Tronolane    (Abbott)
Troopil    (Paramount)
Trophin    (Akson)
Tropic    (Sante)
Tropicafin    (Medipak)
Tropin    (Venture)
Tropit       (Global)
Tropizol    (Zaka)
Trost    (Hamaz)
Trosyd    (Pfizer)
Trovas    (Adamjee)
Trovit    (Tagma)
Trovit-6    (Tagma)
Trovit-F    (Tagma)
Troy    (Wnsfeild)
Troz    (Bosch)
Trucef    (Synchro)
Trucon    (Goodman L)
True-Fen    (Mass)
Trugem    (Pharmevo)
Trunal    (Medimark)
Trupril    (Getz)
Truride    (Fynk)
Trusef    (Novamed)
Trusopt    (Obs)
Trutil    (Pharmix)
Truzole    (Raazee)
Try-X    (Jawa)
Trycin    (Siza)
Tryloc    (Csh)
Trymicron Mr    (Everest)
Tryprol    (Unexo)
Tryptanol    (Obs)
Tryzin    (Pulse)
Tuber-Hr    (Lowitt)
Tubercure    (Lowitt)
Tubercure Inh    (Lowitt)
Tubercure-P    (Lowitt)
Tuberin    (Lisko)
Tuberin-P    (Lisko)
Tuberserine    (Hoffman)
Tuberwin-P Forte    (Jinnah)
Tubonic    (Helicon)
Tufzone    (Pulse)
Tulip    (Tagma)
Tulose    (Convell)
Tulurik    (Medisure)
Tumen    (Unipharma)
Tums    (Ethel)
Tunex    (Ethel)
Turbonic    (Helicon)
Tuscolin-D    (Helix)
Tussark    (Progressive Lab)
Tussex    (Ankaz)
Tussivil    (Pfizer)
Tuzfen    (Obsons)
Tuzlox    (Pulse)
Twin    (English)
Twinks    (Cherwel)
Txazole    (Macquins)
Ty-Oxone    (Geofman)
Tycef    (Helix)
Tycelex    (Derma Tech)
Tycho    (Libra)
Tyfox    (Rakaposhi)
Tygacil    (Pfizer)
Tykerb    (Gsk)
Tyladol    (Bryon)
Tyladol Extra    (Bryon)
Tyladol Plus    (Bryon)
Tyladol-Cf    (Bryon)
Tylenol Extra    (Arsons)
Tylofenac    (Don Valley)
Tylol    (Don Valley)
Tylol Cf    (Don Valley)
Tylol Extra    (Don Valley)
Tymole    (Shepherd)
Tyno Cough    (Reko)
Tyno Lozenges Lemon    (Reko)
Tyno Lozenges Orange    (Reko)
Tyno-Sf Cough    (Reko)
Tynotin    (Selmore)
Typbar    (Amson)
Typbar Tcv    (Sms)
Typdex    (Jawa)
Typerdon    (Kci)
Typherix    (Gsk)
Typhevac    (Hi-Warble)
Typhidrall    (Amson)
Typhim-Vi    (Aventis)
Tyracip    (Isis)
Tysen    (Himont Pharma)
Tyzan    (Breeze)
Tyzitec    (Star)
U-Butol    (Unexo)
U-Butol+Inh    (Unexo)
U-Fit    (Panacea)
U-Losapot    (Unit Tiech)
U-Progest    (Obs)
U-Safex    (Usawa)
U-Saprox    (Usawa)
U-Sazine    (Usawa)
U-Sodox    (Usawa)
U-Tran    (Unexo)
U-Veil    (Derma Tech)
U-Veil Forte    (Derma Tech)
U-Vichek    (Derma Tech)
U-Zit    (Abbott)
Ubutol Inh    (Unexo)
Ubutol+2    (Unexo)
Ubutol+3    (Unexo)
Ucaine    (Zaka)
Ucefore    (Valentine)
Ucetam    (Macquins)
Ucetam    (Al-Habib)
Ucit    (Unison)
Uconazol    (Unimark)
Udibol    (Medicaux)
Udic    (Valor)
Udic-B      (Valor)
Udic-H    (Valor)
Ufan    (S.J.& G)
Ufan Tf    (S.J.& G)
Ufan-Ff    (S.J.& G)
Ufenac    (Valor)
Uflo    (Noa Hemis)
Uflora    (Searle)
Ufoxin    (Trigon)
Ufrex    (Cirin)
Ufrim    (High-Q)
Ufur    (Bio Pharma)
Ul Samark    (Vital)
Ul-Get    (Saydon)
Ul-Rid    (Z-Jans)
Ul-Safe    (Saydon)
Ul-Some    (Saydon)
Ulcafate    (Star)
Ulcare    (Z-Jans)
Ulcedine    (Saviour)
Ulcefame    (Zephyr)
Ulceley    (Medley)
Ulceloc    (Bosch)
Ulcemal    (Atco)
Ulcemed    (Mediceena)
Ulcemet    (Siza)
Ulcenil    (Siza)
Ulcenor    (Flow)
Ulcepep-20    (Epoch)
Ulcepep-40    (Epoch)
Ulcer Off    (Unipharma)
Ulcerate    (Helix)
Ulcercure    (Eros)
Ulcercure Forte    (Eros)
Ulcerex    (Sami)
Ulcerid    (Medicraft)
Ulcerine    (Geofman)
Ulcernil    (Lisko)
Ulceroc    (Mediceena)
Ulcertec    (Polyfine)
Ulcerx    (Hansel)
Ulcet    (Ccl)
Ulciban    (Star)
Ulcicare    (Jawa)
Ulcoat    (Akhai)
Ulcocid    (Don Valley)
Ulcofin    (Pharmix)
Ulcozol    (Friends)
Ulcozol-L    (Friends)
Ulfam    (Highnoon)
Ulfarid    (Davis)
Ulfate    (Obsons)
Ulora    (Helix)
Ulsanic    (Highnoon)
Ulsazole    (Bloom)
Ulsfree    (Zesion)
Ulsin    (Don Valley)
Ulsive    (Don Valley)
Ulsuc    (Mediate)
Ultavit-C    (Hamaz)
Ultec    (Alina)
Ultech    (Wise)
Ulticomb    (Pdh)
Ultifen    (Hansel)
Ultima    (Macter)
Ultomed    (Medicraft)
Ultozone    (Mass)
Ultra Mox    (Hassan)
Ultra Pen    (Hassan)
Ultra Vit    (Rising)
Ultracef    (Himont Pharma)
Ultracef Dry Powder Suspension    (Ottoman)
Ultradoxim    (Himont Pharma)
Ultrafen    (Bex)
Ultraheat Rub    (Ferozson)
Ultralanum    (Bayer)
Ultraquin    (Ipp)
Ultrasef    (Life Line)
Ultravist    (Bayer)
Ultravit    (Synchro)
Ultrazid    (Biorex)
Ultrex    (Wilshire)
Ultrox    (Pakheim)
Ultroxil    (Himont Pharma)
Umeed    (Alliance)
Unasyn    (Pfizer)
Uneed    (Robins)
Unekon    (Unexo)
Unerif    (Unexo)
Unesef    (Unexo)
Unesko-T    (Unexo)
Uneskobian    (Unexo)
Unesoquine    (Unexo)
Unetox-T    (Unexo)
Unexapine    (Tg)
Unexetin    (Tg)
Unexofed Dm    (Unexo)
Unexolone    (Unexo)
Uni-Dol    (Unison)
Uni-Trops    (Unit Tiech)
Uni-Vir    (Linear)
Uni-Zide    (Unit Tiech)
Unibactum    (Pulse)
Unibesylate    (Unit Tiech)
Unibex-T    (Unipharma)
